"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"4/28/2018","Cardpool Ca","CARDPOOL 925-2269988 CA","70.80","debit","Restaurants","Citi ThankYou Preferred","",""
"4/27/2018","Happy Lemon","HAPPY LEMON SAN BRUNO CA","3.95","debit","Coffee Shops","Citi ThankYou Preferred","",""
"4/27/2018","Grand Martco Inc.","GRAND MARTCO INC SOUTH SAN FRA CA","41.43","debit","Gas & Fuel","Citi ThankYou Preferred","",""
"4/27/2018","Barnes & Noble","BARNES & NOBLE #2208 SAN BRUNO CA","50.40","debit","Books","Citi ThankYou Preferred","",""
"4/27/2018","Specialty S Cafe","SPECIALTYS CAFE BAKERY 415-3622052 CA","10.64","debit","Restaurants","Citi ThankYou Preferred","",""
"4/25/2018","Specialty S Cafe","SPECIALTYS CAFE BAKERY 415-3622052 CA","13.63","debit","Restaurants","Citi ThankYou Preferred","",""
"4/27/2018","Starbucks","STARBUCKS 800-782-7282 WA","25.00","debit","Coffee Shops","Citi ThankYou Preferred","",""
"4/27/2018","iTunes","APL* ITUNES.COM/BILL 866-712-7753 CA         04/26","26.97","debit","Music","TOTAL CHECKING","",""
"4/26/2018","Safeway","SAFEWAY #3010 CASTRO VALLEY CA","36.05","debit","Groceries","Citi ThankYou Preferred","",""
"4/26/2018","Rite Aid","RITE AID STORE - 5922 CASTRO VALLEY CA","78.80","debit","Pharmacy","Citi ThankYou Preferred","",""
"4/26/2018","Specialty's Cafe & Bakery Inc.","SPECIALTYS CAFE AND BA REDWOOD CITY CA","9.78","debit","Restaurants","Citi ThankYou Preferred","",""
"4/26/2018","Wal-Mart","WAL-MART #2161 PLEASANTON CA","27.63","debit","Shopping","Citi ThankYou Preferred","",""
"4/26/2018","Transfer from TOTAL CHECKING","Online Transfer from CHK ...5053transaction#: 7096034667","100.00","credit","Transfer","TOTAL CHECKING","",""
"4/26/2018","Transfer to TOTAL CHECKING","Online Transfer to CHK ...9412 transaction#: 7096034667 04/26","100.00","debit","Transfer","TOTAL CHECKING","",""
"4/26/2018","Arco","ARCO#06139 FOSTER CITY CA04/26","21.74","debit","Gas & Fuel","TOTAL CHECKING","",""
"4/26/2018","Freedom Financia Ppd","FREEDOM FINANCIA PAYMENTPPD ID: V352240393","383.07","debit","Financial","TOTAL CHECKING","",""
"4/25/2018","Amazon","AMAZON MKTPLACE PMTS AMZN.COM/BILL WA","64.41","debit","Shopping","Citi ThankYou Preferred","",""
